Fecha,Local,Visit,Local pitcher,Visit pitcher
2067,20180405.0,Padres,Rockies,J. Lucchesi,T. Anderson
9848,20220517.0,R.Sox,Astros,N. Eovaldi ,J. Urquidy 
3394,20180724.0,Orioles,R.Sox,Y. Ramirez ,D. Pomeranz 
2009,20180331.0,Mariners,Guardians,J. Paxton ,C. Carrasco 
1674,20170907.0,Pirates,Cubs,J. Taillon ,J. Lester 
3180,20180703.0,Marlins,Rays,T. Richards,R. Yarbrough
8407,20210711.0,Padres,Rockies,R. Weathers,J. Gray 
8653,20210804.0,Yankees,Orioles,J. Taillon,M. Harvey
10452,20220706.0,Astros,Royals,C. Javier ,B. Keller 
4931,20190523.0,Mets,Nationals,S. Matz,S. Strasburg
9593,20220426.0,Reds,Padres,R. Sanmartin ,J. Musgrove 
8788,20210814.0,Angels,Astros,J. Barria ,L. Garcia 
1130,20170725.0,Tigers,Royals,M. Fulmer ,D. Duffy 
6069,20190830.0,Phillies,Mets,A. Nola,Z. Wheeler
2987,20180617.0,Athletics,Angels,D. Mengden,A. Heaney
5593,20190720.0,Tigers,Blue,D. Norris,T. Thornton
5098,20190606.0,Royals,R.Sox,D. Duffy ,R. Weber
4748,20190507.0,Rockies,Giants,A. Senzatela ,M. Bumgarner 
1174,20170729.0,Blue,Angels,F. Liriano,Y. Petit
7379,20210417.0,Rockies,Mets,C. Gonzalez,J. deGrom 
7716,20210515.0,Rockies,Reds,J. Chacin,T. Mahle
731,20170619.0,Rangers,Blue,A. Bibens-Dirkx,M. Estrada
5931,20190818.0,Royals,Mets,G. Sparkman,Z. Wheeler
581,20170607.0,Dodgers,Nationals,C. Kershaw ,S. Strasburg 
4959,20190525.0,Mets,Tigers,J. Vargas,R. Carpenter
2377,20180430.0,Giants,Padres,J. Samardzija,E. Lauer
6661,20200812.0,Astros,Giants,Z. Greinke ,T. Cahill
7045,20200916.0,Rockies,Athletics,G. Marquez ,M. Fiers 
2756,20180529.0,Diamondbacks,Reds,Z. Godley ,L. Castillo 
1544,20170828.0,Nationals,Marlins,M. Scherzer ,J. Urena 
10095,20220607.0,Astros,Mariners,J. Verlander ,C. Flexen 
3629,20180812.0,Blue,Rays,M. Stroman,T. Glasnow
5735,20190801.0,Dodgers,Padres,C. Kershaw ,J. Lucchesi 
9860,20220518.0,Marlins,Nationals,P. Lopez,J. Gray
2362,20180429.0,Royals,White,I. Kennedy,H. Santiago
8496,20210722.0,Cardinals,Cubs,K. Kim ,A. Alzolay 
4292,20190328.0,Phillies,Braves,A. Nola ,J. Teheran 
10303,20220625.0,Yankees,Astros,G. Cole ,C. Javier 
10094,20220607.0,White,Dodgers,M. Kopech ,M. White
3576,20180807.0,Diamondbacks,Phillies,Z. Greinke ,N. Pivetta 
5647,20190724.0,White,Marlins,R. Lopez ,Z. Gallen 
8394,20210710.0,Mariners,Angels,C. Flexen ,P. Sandoval 
1583,20170831.0,Reds,Mets,R. Stephenson ,J. deGrom 
4160,20180925.0,Mariners,Athletics,M. Leake,B. Anderson
3829,20180829.0,Orioles,Blue,A. Cobb,R. Borucki
3201,20180705.0,Tigers,Rangers,M. Boyd ,Y. Gallardo 
5315,20190623.0,Royals,Twins,H. Bailey ,M. Pineda 
7297,20210410.0,Blue,Angels,S. Matz ,J. Quintana 
6330,20190920.0,Astros,Angels,Z. Greinke ,J. Barria 
6282,20190916.0,Cardinals,Nationals,D. Hudson ,S. Strasburg
8734,20210810.0,Angels,Blue,J. Suarez ,R. Stripling
3371,20180722.0,Tigers,R.Sox,B. Hardy ,C. Sale 
3223,20180707.0,Cubs,Reds,T. Chatwood,M. Harvey
9702,20220504.0,Rockies,Nationals,A. Gomber ,P. Corbin 
6039,20190827.0,Astros,Rays,J. Verlander ,C. Morton 
3094,20180626.0,Phillies,Yankees,J. Arrieta ,L. Severino 
289,20170513.0,Rangers,Athletics,N. Martinez,S. Gray
8226,20210626.0,Dodgers,Cubs,J. Urias,A. Mills
8221,20210626.0,Reds,Braves,L. Castillo ,I. Anderson 
7883,20210529.0,Cubs,Reds,Z. Davies,L. Castillo 
4018,20180914.0,Guardians,Tigers,J. Tomlin,M. Boyd
626,20170610.0,R.Sox,Tigers,C. Sale ,J. Verlander
