Fecha,Local,Visit,Local pitcher,Visit pitcher
618,20170610.0,Rays,Athletics,E. Ramirez,S. Gray
1947,20170929.0,Guardians,White,T. Bauer ,M. Pelfrey 
4961,20190525.0,Guardians,Rays,C. Carrasco ,C. Morton 
5296,20190622.0,Royals,Twins,D. Duffy,J. Berrios
3218,20180706.0,Diamondbacks,Padres,Z. Godley ,J. Lucchesi 
3694,20180817.0,Athletics,Astros,E. Jackson,C. Morton
3932,20180907.0,R.Sox,Astros,D. Price,G. Cole
9652,20220430.0,Royals,Yankees,C. Hernandez ,G. Cole 
3195,20180704.0,Reds,White,S. Romano ,D. Covey 
3021,20180620.0,Cubs,Dodgers,J. Lester ,R. Stripling 
904,20170703.0,Nationals,Mets,S. Strasburg,S. Matz
7887,20210529.0,Tigers,Yankees,S. Turnbull ,D. Garcia 
6235,20190912.0,Rangers,Rays,K. Allard,B. McKay 
9188,20210918.0,Astros,Diamondbacks,L. McCullers Jr.,H. Castellanos
10360,20220629.0,Phillies,Braves,R. Suarez ,K. Wright 
1523,20170826.0,Guardians,Royals,M. Clevinger ,J. Hammel 
4082,20180919.0,Phillies,Mets,Z. Eflin ,N. Syndergaard 
3514,20180803.0,R.Sox,Yankees,R. Porcello ,L. Severino 
7446,20210423.0,R.Sox,Mariners,M. Perez,Y. Kikuchi 
5110,20190607.0,Mets,Rockies,J. deGrom ,A. Senzatela 
7382,20210417.0,Rangers,Orioles,D. Dunning,D. Kremer
3534,20180804.0,Athletics,Tigers,E. Jackson ,J. Zimmermann 
6793,20200824.0,Astros,Angels,F. Valdez ,P. Sandoval 
3305,20180713.0,Twins,Rays,J. Odorizzi,N. Eovaldi 
10262,20220621.0,Brewers,Cardinals,C. Gonzalez ,J. Flaherty
6533,20200731.0,Twins,Guardians,R. Dobnak ,M. Clevinger 
3875,20180902.0,Royals,Orioles,J. Lopez ,D. Hess 
592,20170607.0,Diamondbacks,Padres,Z. Greinke ,L. Perdomo 
912,20170704.0,Nationals,Mets,J. Ross ,S. Lugo 
9982,20220528.0,Mariners,Astros,L. Gilbert ,J. Urquidy 
5375,20190629.0,Orioles,Guardians,A. Cashner ,Z. Plesac 
3482,20180731.0,White,Royals,J. Shields ,D. Duffy 
10542,20220713.0,Cardinals,Dodgers,A. Wainwright,T. Gonsolin
7506,20210427.0,White,Tigers,L. Giolito ,J. Urena 
10042,20220602.0,Dodgers,Mets,T. Gonsolin ,T. Walker 
1802,20170917.0,Rockies,Padres,J. Gray,J. Chacin
4937,20190523.0,Giants,Braves,M. Bumgarner,K. Gausman
3230,20180707.0,Astros,White,C. Morton ,J. Shields 
351,20170518.0,Dodgers,Marlins,H. Ryu ,E. Volquez 
6323,20190920.0,Yankees,Blue,J.A. Happ,J. Waguespack
7615,20210506.0,Angels,Rays,A. Heaney,C. McHugh
6696,20200816.0,Orioles,Nationals,J. Means,M. Scherzer 
6252,20190914.0,Nationals,Braves,A. Voth,M. Foltynewicz 
8877,20210822.0,Rays,White,C. Archer,R. Lopez 
2355,20180429.0,Blue,Rangers,J.A. Happ ,M. Perez 
9028,20210904.0,Nationals,Mets,J. Rogers ,T. Megill 
9016,20210903.0,Marlins,Phillies,J. Luzardo,K. Gibson 
5359,20190627.0,Rockies,Dodgers,P. Lambert,W. Buehler
1026,20170717.0,R.Sox,Blue,E. Rodriguez,M. Stroman
9641,20220430.0,Cardinals,Diamondbacks,M. Mikolas ,M. Kelly 
7194,20210401.0,Reds,Cardinals,L. Castillo ,J. Flaherty
5301,20190622.0,Athletics,Rays,M. Fiers,Y. Chirinos
9432,20220412.0,Tigers,R.Sox,T. Alexander,R. Hill
3431,20180727.0,Marlins,Nationals,P. Lopez ,M. Scherzer 
4671,20190430.0,Twins,Astros,M. Pineda ,G. Cole 
1028,20170717.0,Pirates,Brewers,C. Kuhl,B. Suter
704,20170617.0,Tigers,Rays,M. Fulmer ,C. Archer 
7130,20200923.0,Royals,Cardinals,D. Duffy ,C. Martinez 
10070,20220605.0,Phillies,Angels,K. Gibson,P. Sandoval
4038,20180915.0,Royals,Twins,I. Kennedy ,C. De Jong 
2402,20180502.0,Astros,Yankees,D. Keuchel ,L. Severino 
4572,20190421.0,Athletics,Blue,B. Anderson ,A. Sanchez
3519,20180803.0,Twins,Royals,J. Odorizzi,H. Fillmyer
6285,20190916.0,Diamondbacks,Marlins,R. Ray,P. Lopez
5745,20190802.0,Rockies,Giants,P. Lambert,S. Anderson
10211,20220617.0,Blue,Yankees,R. Stripling ,J. Montgomery 
833,20170627.0,Dodgers,Angels,K. Maeda ,J. Chavez 
10592,20220717.0,Twins,White,C. Archer ,D. Cease 
8321,20210704.0,Angels,Orioles,P. Sandoval,T. Eshelman
5248,20190618.0,Twins,R.Sox,M. Pineda,D. Price
7455,20210423.0,Dodgers,Padres,C. Kershaw ,Y. Darvish 
9251,20210923.0,Guardians,White,Z. Plesac,M. Kopech
3300,20180713.0,Guardians,Yankees,S. Bieber ,D. German 
7563,20210502.0,Rays,Astros,R. Hill,C. Javier
2286,20180424.0,Guardians,Cubs,J. Tomlin ,T. Chatwood 
7604,20210505.0,Angels,Rays,S. Ohtani,A. Kittredge
8178,20210622.0,Angels,Giants,A. Heaney ,A. DeSclafani 
6748,20200820.0,Padres,Rangers,D. Lamet,K. Gibson
7070,20200918.0,Mets,Braves,S. Matz ,M. Fried 
7794,20210522.0,Yankees,White,G. Cole ,D. Cease 
5523,20190714.0,Athletics,White,B. Anderson,R. Lopez
1086,20170721.0,Giants,Padres,J. Samardzija,T. Cahill
9690,20220504.0,Mets,Braves,T. Megill ,I. Anderson 
1397,20170816.0,R.Sox,Cardinals,E. Rodriguez,L. Lynn
9845,20220517.0,Mets,Cardinals,T. Walker,S. Matz
9067,20210907.0,Rockies,Giants,C. Gonzalez ,L. Webb 
5744,20190802.0,Twins,Royals,M. Perez,G. Sparkman
1711,20170910.0,Braves,Marlins,R.A. Dickey,O. Despaigne
3122,20180628.0,Dodgers,Cubs,C. Kershaw,J. Quintana
5388,20190629.0,Padres,Cardinals,C. Paddack ,D. Hudson 
10390,20220702.0,Giants,White,L. Webb ,D. Cease 
569,20170605.0,Athletics,Blue,S. Manaea ,J.A. Happ 
9089,20210909.0,Yankees,Blue,N. Cortes,J. Berrios 
9285,20210926.0,Tigers,Royals,W. Peralta ,K. Bubic 
8817,20210817.0,Reds,Cubs,V. Gutierrez ,K. Hendricks 
5653,20190725.0,White,Twins,L. Giolito ,J. Berrios 
9614,20220427.0,Twins,Tigers,J. Ryan ,M. Pineda 
4457,20190412.0,Cubs,Angels,C. Hamels ,T. Skaggs 
3999,20180912.0,Giants,Braves,D. Holland,A. Sanchez
744,20170620.0,Twins,White,E. Santana ,D. Holland 
5367,20190628.0,Brewers,Pirates,J. Chacin,C. Archer
5164,20190611.0,Marlins,Cardinals,E. Hernandez ,D. Hudson 
1587,20170831.0,Orioles,Blue,J. Hellickson ,M. Estrada 
6002,20190824.0,Mets,Braves,Z. Wheeler,M. Fried
7928,20210601.0,Astros,R.Sox,L. Garcia ,G. Richards 
3311,20180713.0,Giants,Athletics,M. Bumgarner ,E. Jackson 
6453,20200724.0,Phillies,Marlins,A. Nola ,S. Alcantara 
7253,20210406.0,Rangers,Blue,D. Dunning ,T. Roark 
1156,20170727.0,Blue,Athletics,M. Stroman,S. Manaea
8896,20210824.0,Orioles,Angels,S. Watkins ,D. Bundy
4445,20190410.0,Royals,Mariners,H. Fillmyer,Y. Kikuchi
623,20170610.0,Astros,Angels,M. Fiers ,R. Nolasco 
9513,20220419.0,Brewers,Pirates,C. Burnes ,J. Brubaker 
9098,20210910.0,White,R.Sox,C. Rodon ,T. Houck 
10566,20220715.0,Twins,White,D. Smeltzer,M. Kopech 
4519,20190417.0,Dodgers,Reds,W. Buehler ,S. Gray 
8489,20210721.0,Astros,Guardians,L. McCullers Jr.,E. Morgan
6263,20190914.0,Angels,Rays,J. Barria ,T. Glasnow
7282,20210409.0,Dodgers,Nationals,W. Buehler ,J. Ross
8667,20210805.0,Diamondbacks,Giants,M. Kelly,A. Wood
2985,20180617.0,Royals,Astros,B. Keller,L. McCullers Jr.
6899,20200904.0,Pirates,Reds,S. Brault ,L. Castillo 
4220,20180930.0,Mets,Marlins,N. Syndergaard ,S. Alcantara 
8766,20210813.0,Tigers,Guardians,T. Alexander ,Z. Plesac 
3315,20180714.0,White,Royals,R. Lopez ,D. Duffy 
7862,20210527.0,Rays,Royals,S. McClanahan ,B. Singer 
7434,20210421.0,Royals,Rays,J. Junis,M. Wacha
8958,20210829.0,Orioles,Rays,S. Watkins ,C. Archer
7584,20210504.0,Phillies,Brewers,A. Nola ,E. Lauer 
7619,20210507.0,Mets,Diamondbacks,D. Peterson,Z. Gallen
3560,20180806.0,Diamondbacks,Phillies,Z. Godley,J. Arrieta
8360,20210708.0,Marlins,Dodgers,S. Alcantara ,J. Urias 
6940,20200906.0,Dodgers,Rockies,J. Urias,R. Castellani
1714,20170910.0,Royals,Twins,J. Vargas ,B. Colon 
6742,20200820.0,Rockies,Astros,G. Marquez ,C. Javier
5926,20190818.0,Blue,Mariners,W. Font ,Y. Kikuchi 
2329,20180427.0,Phillies,Braves,A. Nola ,J. Teheran
1436,20170819.0,Rockies,Brewers,C. Bettis,B. Woodruff
1904,20170925.0,Dodgers,Padres,Y. Darvish ,T. Wood 
9385,20220408.0,Tigers,White,E. Rodriguez,L. Giolito
9332,20210930.0,Cardinals,Brewers,J.A. Happ ,B. Anderson
237,20170509.0,Reds,Yankees,T. Adleman ,C. Sabathia 
8462,20210719.0,Astros,Guardians,Z. Greinke ,J.C. Mejia 
7966,20210604.0,Padres,Mets,B. Snell ,J. Lucchesi 
7381,20210417.0,Royals,Blue,E. Santana,T. Milone
6705,20200816.0,Giants,Athletics,L. Webb ,M. Fiers 
4328,20190331.0,Twins,Guardians,M. Pineda,C. Carrasco 
7580,20210504.0,Rockies,Giants,G. Marquez ,A. Sanchez
412,20170524.0,Brewers,Blue,M. Garza ,M. Stroman 
5949,20190820.0,R.Sox,Phillies,B. Johnson ,A. Nola 
314,20170515.0,Angels,White,J. Chavez ,M. Pelfrey 
10584,20220716.0,Cubs,Mets,D. Smyly,M. Scherzer
5535,20190715.0,Rockies,Giants,C. Gonzalez ,D. Rodriguez 
3681,20180816.0,Padres,Diamondbacks,J. Nix ,C. Buchholz 
4760,20190508.0,Cubs,Marlins,K. Hendricks,J. Urena
6078,20190830.0,Giants,Padres,M. Bumgarner ,D. Lamet 
1624,20170903.0,Brewers,Nationals,B. Suter,E. Jackson 
8853,20210820.0,Reds,Marlins,S. Gray ,E. Hernandez 
3551,20180805.0,Dodgers,Astros,W. Buehler ,G. Cole 
5891,20190815.0,Yankees,Guardians,C. Green ,A. Plutko 
1550,20170828.0,Padres,Giants,J. Chacin ,J. Samardzija 
3061,20180623.0,Brewers,Cardinals,C. Anderson,M. Mikolas 
5904,20190816.0,Reds,Cardinals,L. Castillo ,A. Wainwright 
2749,20180529.0,R.Sox,Blue,R. Porcello ,M. Estrada 
6065,20190829.0,Giants,Padres,D. Rodriguez ,C. Paddack 
3929,20180907.0,Reds,Padres,A. DeSclafani,B. Kennedy
4746,20190507.0,Cardinals,Phillies,D. Hudson ,A. Nola 
4430,20190409.0,Astros,Yankees,G. Cole,J. Loaisiga
1938,20170928.0,Cardinals,Cubs,L. Lynn,K. Hendricks
7564,20210502.0,White,Guardians,L. Giolito ,Z. Plesac 
1649,20170905.0,Reds,Brewers,R. Stephenson ,Z. Davies 
1010,20170715.0,Angels,Rays,J. Ramirez ,A. Cobb 
3769,20180824.0,Marlins,Braves,D. Straily ,M. Foltynewicz 
4083,20180919.0,Yankees,R.Sox,L. Severino ,D. Price 
4550,20190420.0,Yankees,Royals,M. Tanaka ,H. Fillmyer 
1007,20170715.0,Royals,Rangers,D. Duffy ,C. Hamels
960,20170708.0,Rays,R.Sox,A. Cobb ,R. Porcello 
3102,20180626.0,Cardinals,Guardians,C. Martinez ,C. Kluber 
274,20170512.0,Royals,Orioles,D. Duffy,D. Bundy
1485,20170823.0,Royals,Rockies,I. Kennedy,A. Senzatela
1250,20170804.0,Reds,Cardinals,A. Wojciechowski ,M. Leake 
8122,20210618.0,Yankees,Athletics,J. Taillon,J. Kaprielian 
5905,20190816.0,Braves,Dodgers,M. Soroka,K. Maeda
6582,20200805.0,Rays,R.Sox,R. Yarbrough ,M. Perez 
6243,20190913.0,Royals,Astros,D. Duffy,G. Cole 
10148,20220612.0,Nationals,Brewers,P. Espino ,J. Alexander
4912,20190521.0,Astros,White,J. Verlander ,D. Covey 
173,20170503.0,Twins,Athletics,H. Santiago ,K. Graveman 
10450,20220706.0,Orioles,Rangers,S. Watkins ,G. Otto 
6092,20190901.0,Cardinals,Reds,M. Mikolas,T. Mahle
8073,20210614.0,R.Sox,Blue,N. Eovaldi,A. Manoah
5499,20190713.0,Athletics,White,C. Bassitt ,D. Covey 
10492,20220709.0,Padres,Giants,Y. Darvish,C. Rodon 
9299,20210927.0,Tigers,White,M. Manning ,D. Keuchel 
6771,20200822.0,Braves,Phillies,R. Erlin,Z. Wheeler
4741,20190506.0,Dodgers,Braves,W. Buehler ,K. Gausman 
3276,20180711.0,R.Sox,Rangers,C. Sale ,B. Colon 
1808,20170918.0,Phillies,Dodgers,N. Pivetta ,C. Kershaw 
6667,20200813.0,Mets,Nationals,D. Peterson ,A. Voth 
7842,20210525.0,Diamondbacks,Giants,C. Martin ,K. Gausman 
3571,20180807.0,Rangers,Mariners,B. Colon ,F. Hernandez 
8961,20210829.0,Tigers,Blue,M. Boyd ,J. Berrios 
1504,20170825.0,R.Sox,Orioles,R. Porcello ,J. Hellickson 
2154,20180412.0,Padres,Giants,B. Mitchell ,C. Stratton 
6849,20200830.0,Reds,Cubs,L. Castillo ,T. Chatwood
6916,20200905.0,Pirates,Reds,T. Williams ,A. DeSclafani
1539,20170827.0,Dodgers,Brewers,Y. Darvish ,J. Nelson 
4533,20190418.0,Rays,Orioles,H. Wood,A. Cashner
776,20170623.0,Marlins,Cubs,J. Urena ,J. Lackey 
7089,20200920.0,Rockies,Dodgers,A. Senzatela ,T. Gonsolin 
9758,20220510.0,Pirates,Dodgers,B. Wilson ,T. Gonsolin 
4207,20180929.0,Royals,Guardians,J. Junis ,C. Kluber
6091,20190831.0,Diamondbacks,Dodgers,R. Ray ,C. Kershaw 
10423,20220704.0,Padres,Mariners,S. Manaea ,C. Flexen 
2474,20180508.0,Rangers,Tigers,M. Minor ,M. Fiers 
2647,20180521.0,Cardinals,Royals,M. Mikolas ,I. Kennedy 
7192,20210401.0,Padres,Diamondbacks,Y. Darvish,M. Bumgarner
5187,20190613.0,Royals,Tigers,H. Bailey ,M. Boyd 
6732,20200819.0,Yankees,Rays,G. Cole,T. Glasnow
513,20170531.0,Mariners,Rockies,J. Paxton ,A. Senzatela 
9889,20220521.0,Blue,Reds,A. Manoah ,H. Greene
10289,20220623.0,White,Orioles,J. Cueto ,D. Kremer 
3608,20180810.0,Astros,Mariners,G. Cole ,M. Leake
2152,20180412.0,Twins,White,J. Berrios ,L. Giolito 
7656,20210510.0,Giants,Rangers,A. Wood ,K. Gibson
3320,20180714.0,Marlins,Phillies,T. Richards ,A. Nola 
1718,20170910.0,Athletics,Astros,K. Graveman ,D. Keuchel 
6674,20200814.0,Phillies,Mets,S. Howard,W. Lockett
9310,20210928.0,Cardinals,Brewers,A. Wainwright ,B. Woodruff
2280,20180423.0,Rangers,Athletics,M. Moore,T. Cahill
4074,20180918.0,Brewers,Reds,C. Anderson ,M. Lorenzen
2266,20180422.0,Yankees,Blue,L. Severino ,J. Garcia 
3636,20180812.0,Rockies,Dodgers,C. Bettis,R. Hill
4032,20180915.0,R.Sox,Mets,R. Porcello ,C. Oswalt
2104,20180408.0,Giants,Dodgers,T. Blach,C. Kershaw
6789,20200824.0,Nationals,Marlins,A. Voth ,P. Lopez 
6403,20190926.0,Mets,Marlins,Z. Wheeler ,J. Yamamoto
8247,20210628.0,Nationals,Mets,P. Espino ,J. Eickhoff 
517,20170601.0,Cardinals,Dodgers,A. Wainwright ,B. McCarthy 
2088,20180407.0,Guardians,Royals,T. Bauer ,I. Kennedy 
10060,20220604.0,Rangers,Mariners,G. Otto ,M. Gonzales 
1439,20170820.0,Tigers,Dodgers,J. Verlander ,K. Maeda 
6819,20200827.0,Giants,Dodgers,L. Webb ,C. Kershaw 
2726,20180527.0,Athletics,Diamondbacks,F. Montas ,Z. Greinke 
9663,20220501.0,Rangers,Braves,T. Hearn ,K. Muller 
10072,20220605.0,Orioles,Guardians,D. Kremer ,Z. Plesac 
2177,20180414.0,Dodgers,Diamondbacks,R. Hill ,T. Walker
2765,20180530.0,Yankees,Astros,L. Severino ,D. Keuchel 
2460,20180507.0,Phillies,Giants,Z. Eflin ,J. Samardzija 
1668,20170906.0,Rockies,Giants,K. Freeland ,J. Cueto 
552,20170604.0,Marlins,Diamondbacks,V. Worley,B. Shipley
2061,20180404.0,Brewers,Cardinals,J. Chacin ,C. Martinez 
7998,20210608.0,Orioles,Mets,B. Zimmermann ,D. Peterson 
1559,20170829.0,Royals,Rays,J. Junis ,A. Cobb 
5953,20190820.0,Cardinals,Brewers,M. Wacha,G. Gonzalez
6695,20200816.0,Tigers,Guardians,M. Fulmer,A. Plutko
8113,20210617.0,Blue,Yankees,T.J. Zeuch,M. King
6652,20200811.0,Dodgers,Padres,R. Stripling ,G. Richards 
267,20170511.0,Giants,Reds,T. Blach,B. Arroyo
9833,20220516.0,Brewers,Braves,F. Peralta ,I. Anderson 
504,20170531.0,Marlins,Phillies,D. Straily ,A. Nola 
7223,20210404.0,Reds,Cardinals,J. Hoffman ,C. Martinez 
2768,20180530.0,Tigers,Angels,M. Fiers,S. Ohtani
3510,20180802.0,Diamondbacks,Giants,Z. Greinke ,M. Bumgarner 
5017,20190529.0,Astros,Cubs,W. Miley ,K. Hendricks 
7772,20210520.0,Rangers,Yankees,D. Dunning,D. German 
6090,20190831.0,Rangers,Mariners,B. Burke,T. Milone
5748,20190803.0,Cubs,Brewers,C. Hamels,G. Gonzalez
4325,20190331.0,Reds,Pirates,S. Gray ,T. Williams 
6188,20190908.0,Brewers,Cubs,A. Houser,J. Lester 
4597,20190424.0,Rays,Royals,B. Snell ,J. Junis 
9202,20210919.0,Astros,Diamondbacks,Z. Greinke,Z. Gallen
5762,20190804.0,Phillies,White,D. Smyly ,R. Lopez 
4953,20190525.0,Royals,Yankees,J. Junis,J.A. Happ 
6976,20200909.0,Diamondbacks,Dodgers,T. Clarke,C. Kershaw
1394,20170816.0,Padres,Phillies,C. Richard ,N. Pivetta 
6659,20200812.0,Yankees,Braves,M. Tanaka,H. Ynoa
8460,20210719.0,Tigers,Rangers,C. Mize,K. Gibson 
1462,20170822.0,Orioles,Athletics,U. Jimenez ,P. Blackburn
7512,20210428.0,Brewers,Marlins,Z. Godley ,S. Alcantara 
567,20170605.0,Royals,Astros,I. Kennedy ,M. Fiers 
7787,20210521.0,Braves,Pirates,I. Anderson ,T. Anderson 
1111,20170723.0,Angels,R.Sox,P. Bridwell ,R. Porcello 
10047,20220603.0,Yankees,Tigers,G. Cole ,E. Rodriguez 
9550,20220422.0,Cubs,Pirates,D. Smyly ,J. Quintana
6785,20200823.0,Athletics,Angels,F. Montas,D. Bundy
7364,20210416.0,Phillies,Cardinals,Z. Eflin ,C. Martinez 
1736,20170912.0,Brewers,Pirates,B. Suter,G. Cole 
8992,20210901.0,Diamondbacks,Padres,L. Weaver ,Y. Darvish 
1569,20170830.0,Orioles,Mariners,U. Jimenez,A. Miranda
6688,20200815.0,Yankees,R.Sox,J. Paxton ,N. Eovaldi 
9428,20220411.0,Yankees,Blue,J. Taillon ,A. Manoah 
7670,20210511.0,Dodgers,Mariners,W. Buehler,Y. Kikuchi
2293,20180424.0,Astros,Angels,C. Morton,S. Ohtani
8744,20210811.0,Braves,Reds,T. Toussaint,W. Miley
1320,20170810.0,Rays,Guardians,B. Snell,D. Salazar
6019,20190825.0,Athletics,Giants,B. Anderson,L. Webb
5983,20190822.0,Dodgers,Blue,K. Maeda,J. Waguespack
7110,20200922.0,Pirates,Cubs,S. Brault,J. Quintana
5318,20190623.0,Dodgers,Rockies,K. Maeda,A. Senzatela
8713,20210808.0,Astros,Twins,L. McCullers Jr. ,K. Maeda 
4247,20190322.0,Mets,Cardinals,H. Santiago ,J. Gant 
1177,20170729.0,Tigers,Astros,M. Boyd ,C. McHugh
2754,20180529.0,Royals,Twins,D. Duffy,K. Gibson
5188,20190613.0,White,Yankees,I. Nova,J.A. Happ
1540,20170827.0,Diamondbacks,Giants,P. Corbin ,C. Stratton 
2813,20180603.0,Twins,Guardians,K. Gibson,M. Clevinger
2133,20180411.0,Twins,Astros,K. Gibson,L. McCullers Jr.
974,20170709.0,Cardinals,Mets,L. Lynn ,S. Matz 
3417,20180726.0,Cubs,Diamondbacks,T. Chatwood,Z. Godley
1722,20170910.0,Guardians,Orioles,T. Bauer ,J. Hellickson 
7490,20210426.0,Brewers,Marlins,C. Burnes ,T. Rogers 
8295,20210702.0,Angels,Orioles,G. Canning,K. Akin
3384,20180723.0,Orioles,R.Sox,K. Gausman ,R. Porcello 
1949,20170929.0,Rays,Orioles,J. Odorizzi,W. Miley 
6275,20190915.0,Angels,Rays,P. Sandoval,R. Yarbrough 
9227,20210921.0,Brewers,Cardinals,B. Woodruff ,J. Woodford 
7940,20210602.0,Rockies,Rangers,A. Senzatela ,J. Lyles
9769,20220510.0,Mariners,Phillies,R. Ray ,A. Nola 
9062,20210907.0,Braves,Nationals,M. Fried,P. Espino
8145,20210619.0,Angels,Tigers,P. Sandoval ,W. Peralta 
7279,20210408.0,Blue,Angels,R. Stripling,G. Canning
8625,20210801.0,Giants,Astros,L. Webb ,L. Garcia 
4272,20190324.0,Reds,Rockies,S. Gray ,G. Marquez
1246,20170803.0,Royals,Mariners,T. Cahill,Y. Gallardo
2018,20180401.0,Orioles,Twins,K. Gausman ,J. Berrios 
5152,20190610.0,Phillies,Diamondbacks,J. Eickhoff ,T. Clarke
6058,20190829.0,Royals,Athletics,G. Sparkman ,C. Bassitt
9794,20220513.0,Rangers,R.Sox,D. Dunning ,N. Pivetta 
1536,20170827.0,Cardinals,Rays,L. Lynn,C. Archer
1883,20170924.0,Braves,Phillies,L. Gohara ,N. Pivetta 
8095,20210615.0,Mariners,Twins,C. Flexen ,J.A. Happ 
424,20170525.0,Nationals,Mariners,G. Gonzalez,A. Miranda 
5300,20190622.0,Pirates,Padres,C. Archer,C. Paddack
7460,20210424.0,Cubs,Brewers,A. Alzolay,F. Peralta
1312,20170809.0,Braves,Phillies,S. Newcomb ,J. Eickhoff 
2703,20180526.0,Athletics,Diamondbacks,D. Mengden ,C. Buchholz 
3024,20180620.0,Yankees,Mariners,J. Loaisiga,F. Hernandez
10285,20220623.0,Reds,Dodgers,H. Greene ,C. Kershaw 
6626,20200809.0,Rays,Yankees,C. Morton,J. Paxton
3705,20180818.0,Reds,Giants,M. Harvey ,M. Bumgarner 
7383,20210417.0,Brewers,Pirates,B. Anderson ,T. Cahill 
7551,20210501.0,Reds,Cubs,L. Castillo ,Z. Davies
9166,20210916.0,Orioles,Yankees,C. Ellis,J. Montgomery
5412,20190702.0,Braves,Phillies,D. Keuchel ,A. Nola 
10402,20220702.0,Rockies,Diamondbacks,A. Gomber ,D. Keuchel 
8685,20210806.0,Cardinals,Royals,A. Wainwright ,M. Minor 
3862,20180901.0,Phillies,Cubs,Z. Eflin ,K. Hendricks 
844,20170628.0,White,Yankees,C. Rodon ,M. Tanaka 
5769,20190804.0,Diamondbacks,Nationals,T. Clarke,P. Corbin
9404,20220409.0,Phillies,Athletics,K. Gibson ,C. Irvin 
3228,20180707.0,Tigers,Rangers,M. Fiers ,C. Hamels 
6539,20200801.0,Royals,White,R. Bolanos ,G. Gonzalez
75,20170425.0,Giants,Dodgers,T. Blach ,C. Kershaw 
1098,20170722.0,Angels,R.Sox,J. Ramirez ,D. Price 
8938,20210827.0,Athletics,Yankees,S. Manaea ,G. Cole 
1602,20170901.0,Twins,Royals,D. Gee ,J. Hammel 
9383,20220407.0,Diamondbacks,Padres,M. Bumgarner,Y. Darvish
4086,20180919.0,Brewers,Reds,G. Gonzalez ,M. Harvey 
6776,20200822.0,Giants,Diamondbacks,T. Anderson ,Z. Gallen
7115,20200922.0,Royals,Cardinals,B. Singer ,A. Gomber 
2549,20180513.0,Angels,Twins,S. Ohtani,F. Romero
8090,20210615.0,Astros,Rangers,L. McCullers Jr.,K. Gibson
7474,20210425.0,Mets,Nationals,T. Walker ,P. Corbin 
3379,20180722.0,Angels,Astros,A. Heaney ,L. McCullers Jr. 
5528,20190715.0,Yankees,Rays,J. Paxton,B. Snell
2674,20180523.0,Reds,Pirates,H. Bailey,C. Kuhl
6716,20200818.0,Astros,Rockies,Z. Greinke,A. Senzatela
4423,20190409.0,Tigers,Guardians,J. Zimmermann ,C. Kluber 
5520,20190714.0,Rangers,Astros,A. Jurado ,J. Verlander 
797,20170624.0,Mariners,Astros,S. Gaviglio ,L. McCullers Jr. 
243,20170509.0,Rockies,Cubs,K. Freeland ,J. Lackey 
9682,20220503.0,R.Sox,Angels,M. Wacha ,N. Syndergaard 
8119,20210617.0,Mariners,Rays,J. Dunn,R. Hill
5457,20190706.0,Nationals,Royals,M. Scherzer ,G. Sparkman 
56,20170423.0,Athletics,Mariners,A. Triggs ,Y. Gallardo 
2463,20180507.0,Athletics,Astros,B. Anderson ,D. Keuchel 
7060,20200917.0,Yankees,Blue,M. Tanaka ,J. Merryweather
915,20170704.0,Cardinals,Marlins,L. Lynn ,J. Urena 
6417,20190927.0,Mariners,Athletics,J. Sheffield,M. Fiers
6500,20200728.0,Nationals,Blue,A. Voth ,T. Roark 
4588,20190423.0,R.Sox,Tigers,H. Velazquez ,S. Turnbull 
8428,20210717.0,Pirates,Mets,W. Crowe,T. Megill
2110,20180409.0,Phillies,Reds,B. Lively,C. Reed
2598,20180518.0,Pirates,Padres,I. Nova ,T. Ross 
4969,20190526.0,Mets,Tigers,Z. Wheeler ,S. Turnbull 
4025,20180914.0,Royals,Twins,J. Lopez,J. Berrios
2728,20180527.0,Dodgers,Padres,W. Buehler ,M. Strahm
2092,20180407.0,Rangers,Blue,M. Minor ,M. Stroman 
8559,20210727.0,Twins,Tigers,K. Maeda,T. Alexander
9174,20210917.0,Reds,Dodgers,L. Castillo ,W. Buehler 
4480,20190413.0,Dodgers,Brewers,C. Ferguson ,Z. Davies 
1532,20170827.0,Braves,Rockies,M. Foltynewicz ,J. Gray 
7277,20210408.0,Twins,Mariners,J. Berrios ,M. Gonzales 
9274,20210925.0,R.Sox,Yankees,N. Pivetta,N. Cortes
2465,20180508.0,Cardinals,Twins,C. Martinez ,J. Odorizzi 
6318,20190919.0,Orioles,Blue,G. Ynoa ,W. Font
5802,20190807.0,Giants,Nationals,S. Anderson ,J. Ross 
9590,20220425.0,Angels,Guardians,M. Lorenzen ,S. Bieber 
5749,20190803.0,Rays,Marlins,D. Castillo,E. Hernandez
6005,20190824.0,White,Rangers,I. Nova ,K. Allard 
2218,20180418.0,Mets,Nationals,S. Matz,T. Roark
7022,20200913.0,Diamondbacks,Mariners,L. Weaver ,J. Dunn
10089,20220607.0,Guardians,Rangers,C. Quantrill ,J. Gray 
773,20170622.0,Dodgers,Mets,H. Ryu,S. Matz
1447,20170820.0,Cubs,Blue,K. Hendricks,M. Estrada
106,20170428.0,Marlins,Pirates,A. Conley ,J. Taillon 
3618,20180811.0,Braves,Brewers,J. Teheran,W. Miley
10041,20220602.0,Rockies,Braves,A. Gomber ,I. Anderson 
613,20170609.0,Diamondbacks,Brewers,R. Delgado,Z. Davies 
