Fecha,Local,Visit,Local pitcher,Visit pitcher,pitch,loc bull,vis bull,factor loc,factor loc 10,Direct local win?,Local Win?
20170423.0,Twins,Tigers,K. Gibson ,M. Fulmer ,-0.5093240093240095,-1.6695652173913045,-9.239999999999998,0.0,-0.10000000000000003,0.2,0.0
20170423.0,Rangers,Royals,Y. Darvish ,J. Hammel ,1.0833333333333335,-1.2923076923076922,-7.903999999999997,0.6000000000000001,0.09999999999999998,1.0,1.0
20170423.0,Rockies,Giants,K. Freeland ,J. Samardzija ,-0.3424242424242424,-0.625,-11.33125,0.19999999999999996,0.39999999999999997,0.8,1.0
20170423.0,Angels,Blue,D. Wright,M. Stroman ,-0.25431034482758624,-1.111111111111111,-6.93,0.2,-0.09999999999999998,0.6,0.0
20170423.0,Athletics,Mariners,A. Triggs ,Y. Gallardo ,0.125,-0.23529411764705882,-3.964761904761905,1.0,0.19999999999999996,0.6,0.0
20170423.0,Diamondbacks,Dodgers,S. Miller ,B. McCarthy ,0.03968253968253965,-0.7111111111111111,-4.782608695652175,0.8,0.09999999999999998,0.6,0.0
20170423.0,Padres,Marlins,L. Perdomo,T. Koehler ,-0.06451612903225812,-2.4266666666666667,-6.966666666666666,0.19999999999999996,-0.09999999999999998,0.4,0.0
20170423.0,Mets,Nationals,Z. Wheeler ,M. Scherzer ,-1.1642857142857144,-2.2857142857142856,-21.07,-0.8,-0.5,0.4,0.0
20170424.0,Pirates,Cubs,C. Kuhl ,B. Anderson ,-0.16233766233766234,-2.070588235294118,-11.751999999999999,-0.4,0.0,0.2,0.0
20170424.0,Orioles,Rays,U. Jimenez,C. Archer ,-0.48863636363636354,-1.2444444444444442,-8.10086956521739,0.39999999999999997,0.19999999999999996,0.6,1.0
20170424.0,Brewers,Reds,M. Garza,A. Garrett ,-0.09018567639257297,-0.72,-8.869565217391303,-0.6000000000000001,0.10000000000000003,0.4,1.0
20170424.0,Rangers,Twins,M. Perez ,P. Hughes ,0.3298350824587706,-0.43636363636363634,-5.982608695652174,0.6,0.2,0.2,0.0
20170424.0,White,Royals,M. Gonzalez ,J. Vargas ,0.08333333333333343,-0.28235294117647064,-7.3999999999999995,0.4,0.09999999999999998,0.2,1.0
20170424.0,Rockies,Nationals,T. Anderson,J. Turner,1.7424242424242424,-0.5142857142857142,-12.0,-0.19999999999999996,-0.10000000000000009,0.6,1.0
20170424.0,Diamondbacks,Padres,Z. Greinke ,J. Chacin ,1.655357142857143,-0.29473684210526313,-4.275555555555555,0.6000000000000001,0.2,0.8,1.0
20170424.0,Angels,Blue,J. Chavez ,F. Liriano ,0.04497354497354511,-1.714285714285714,-12.97846153846154,-0.2,-0.2,0.6,1.0
20170424.0,Giants,Dodgers,M. Cain ,H. Ryu ,0.07729468599033817,-0.16,-5.221052631578948,0.0,-0.10000000000000003,1.0,1.0
20170425.0,Guardians,Astros,J. Tomlin ,D. Keuchel ,-0.365967365967366,-0.8571428571428571,-12.646666666666667,-0.6000000000000001,-0.20000000000000007,0.6,0.0
20170425.0,Pirates,Cubs,G. Cole ,K. Hendricks ,-0.41666666666666663,-1.0818181818181818,-14.760000000000002,-0.4,0.0,0.2,0.0
20170425.0,Tigers,Mariners,J. Zimmermann ,F. Hernandez ,-1.076923076923077,-2.75,-6.156190476190476,0.39999999999999997,-0.19999999999999996,0.8,1.0
20170425.0,Brewers,Reds,Z. Davies ,S. Feldman ,-0.198005698005698,-1.2,-7.525,-0.4,0.10000000000000003,0.6,1.0
20170425.0,Rangers,Twins,A. Cashner ,E. Santana ,0.23706896551724144,-0.06000000000000001,-12.47,0.20000000000000007,0.2,0.2,0.0
20170425.0,Rockies,Nationals,G. Marquez ,J. Ross,-0.2800000000000001,0.0,-12.866666666666669,0.0,0.0,0.6,0.0
20170425.0,Giants,Dodgers,T. Blach ,C. Kershaw ,0.25,0.07142857142857142,-7.610526315789474,0.2,-0.10000000000000003,1.0,0.0
20170426.0,White,Royals,J. Quintana ,N. Karns ,0.03749999999999987,-0.7411764705882352,-5.236363636363635,0.6,0.2,0.6,1.0
20170426.0,Guardians,Astros,T. Bauer ,L. McCullers Jr. ,-0.7563959955506117,-1.2666666666666666,-12.41625,-0.6000000000000001,-0.20000000000000007,0.4,1.0
20170426.0,R.Sox,Yankees,R. Porcello ,L. Severino ,0.29166666666666663,-0.23157894736842105,-7.929999999999998,0.4,-0.09999999999999998,0.8,0.0
20170426.0,Orioles,Rays,D. Bundy,A. Cobb,0.8523809523809524,-0.023529411764705875,-6.9575999999999985,0.39999999999999997,0.09999999999999998,0.6,1.0
20170426.0,Phillies,Marlins,V. Velasquez ,W. Chen ,0.2891278375149343,-2.0210526315789474,-10.6675,0.0,0.0,0.6,1.0
20170426.0,Pirates,Cubs,T. Glasnow,J. Lester ,-0.9621212121212122,-1.4285714285714284,-14.7,-0.4,-0.19999999999999996,0.2,1.0
20170426.0,Tigers,Mariners,D. Norris ,J. Paxton ,-0.78125,-1.65,-5.4496,0.6000000000000001,0.0,1.0,0.0
20170426.0,Mets,Braves,R. Gsellman ,J. Teheran ,0.19444444444444453,-0.4166666666666667,-14.3375,0.0,-0.2,0.6,0.0
20170426.0,Rangers,Twins,C. Hamels ,H. Santiago,0.4315004659832246,-0.11666666666666665,-12.268235294117648,0.0,0.09999999999999998,0.2,1.0
20170426.0,Rockies,Nationals,T. Chatwood ,T. Roark ,-0.24025974025974028,-1.625,-11.924000000000001,0.0,-0.10000000000000009,0.6,0.0
20170426.0,Diamondbacks,Padres,Z. Godley,T. Cahill,-0.29670329670329665,-2.431578947368421,-8.923529411764704,0.8,0.3,0.8,0.0
20170426.0,Angels,Athletics,M. Shoemaker ,S. Manaea ,0.24532224532224522,-0.5294117647058825,-12.793333333333335,0.0,-0.09999999999999998,0.8,1.0
20170426.0,Giants,Dodgers,J. Cueto,A. Wood,-0.34523809523809534,-0.08000000000000002,-6.8999999999999995,0.0,-0.10000000000000003,0.8,1.0
20170427.0,Phillies,Marlins,J. Hellickson ,E. Volquez ,0.8842105263157894,-0.06666666666666665,-6.888888888888889,0.4,0.09999999999999998,0.6,1.0
20170427.0,Tigers,Mariners,J. Verlander,H. Iwakuma,0.7411764705882353,-0.4736842105263159,-6.572727272727272,0.19999999999999996,-0.09999999999999998,0.8,0.0
20170427.0,Mets,Braves,M. Harvey ,R.A. Dickey ,-0.3333333333333333,-1.04,-11.811428571428571,-0.4,-0.30000000000000004,0.6,0.0
20170427.0,Cardinals,Blue,C. Martinez,M. Latos,0.797979797979798,-0.7466666666666667,-11.755714285714287,0.0,0.09999999999999998,0.0,1.0
20170427.0,Rockies,Nationals,A. Senzatela ,G. Gonzalez ,0.03571428571428564,-0.4411764705882353,-8.680000000000001,-0.20000000000000007,-0.20000000000000007,0.6,0.0
20170427.0,Giants,Dodgers,M. Moore,J. Urias,-0.13427109974424545,-0.05,-8.600000000000001,0.0,0.0,0.8,0.0
20170427.0,Giants,Dodgers,M. Moore,J. Urias,-0.14141414141414144,-0.28571428571428575,-9.37142857142857,-0.19999999999999996,-0.10000000000000003,0.6,0.0
20170427.0,Guardians,Astros,C. Kluber ,M. Fiers,0.1957671957671957,-1.0499999999999998,-12.32,-0.19999999999999996,0.0,0.6,1.0
20170427.0,R.Sox,Yankees,C. Sale ,M. Tanaka ,0.7519157088122607,-0.19999999999999996,-11.75,0.0,-0.09999999999999998,0.8,0.0
