Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Local Win?,L bullpen recieved,V bullpen recieved
20150409,Nationals,Mets,3.0,6.0,0.0,4.0,7.0,10.0,S. Strasburg ,5.1,6.0,9.0,5.0,3.0,M. Harvey ,6.0,0.0,4.0,9.0,1.0,0.0,0.0,3.0
20150409,Tigers,Twins,7.0,1.0,7.0,0.0,10.0,5.0,S. Greene ,8.0,1.0,4.0,5.0,1.0,K. Gibson ,3.2,6.0,8.0,0.0,5.0,1.0,0.0,1.0
20150409,Royals,White,4.0,1.0,1.0,0.0,8.0,4.0,E. Volquez ,8.0,1.0,4.0,5.0,1.0,J. Danks ,5.2,4.0,7.0,1.0,1.0,1.0,0.0,0.0
20150409,Astros,Guardians,1.0,5.0,0.0,4.0,1.0,11.0,A. Wojciechowski ,4.0,4.0,8.0,2.0,2.0,T. Bauer ,6.0,0.0,0.0,11.0,5.0,0.0,1.0,1.0
20150409,Athletics,Rangers,1.0,10.0,0.0,8.0,6.0,12.0,K. Graveman ,3.1,8.0,7.0,1.0,1.0,N. Martinez ,7.0,0.0,4.0,5.0,2.0,0.0,2.0,1.0
20150409,Padres,Giants,0.0,1.0,0.0,0.0,7.0,6.0,I. Kennedy,2.1,0.0,2.0,2.0,2.0,T. Hudson,6.1,0.0,5.0,1.0,5.0,0.0,1.0,0.0
20150409,Yankees,Blue,3.0,6.0,1.0,4.0,7.0,9.0,C. Sabathia ,5.2,5.0,8.0,8.0,0.0,D. Norris ,5.2,3.0,6.0,5.0,2.0,0.0,1.0,0.0
20150409,Phillies,Red,2.0,6.0,2.0,6.0,5.0,11.0,D. Buchanan ,3.0,6.0,7.0,1.0,4.0,J. Masterson ,6.0,2.0,3.0,7.0,2.0,0.0,0.0,0.0
20150410,Orioles,Blue,5.0,12.0,2.0,10.0,13.0,16.0,B. Norris ,3.0,8.0,7.0,1.0,1.0,M. Buehrle ,6.0,2.0,8.0,1.0,2.0,0.0,4.0,3.0
20150410,Rangers,Astros,1.0,5.0,0.0,2.0,6.0,10.0,D. Holland ,1.0,1.0,2.0,0.0,0.0,C. McHugh ,6.0,1.0,5.0,4.0,2.0,0.0,4.0,0.0
